away,away_score,day,eid,gamekey,home,home_score,meridiem,month,season_type,time,wday,week,year,WINNER
TEN,10,10,2009091000,54467,PIT,13,,9,REG,8:30,Thu,1,2009,PIT
MIA,7,13,2009091300,54468,ATL,19,,9,REG,1:00,Sun,1,2009,ATL
KC,24,13,2009091301,54469,BAL,38,,9,REG,1:00,Sun,1,2009,BAL
PHI,38,13,2009091302,54470,CAR,10,,9,REG,1:00,Sun,1,2009,PHI
DEN,12,13,2009091303,54471,CIN,7,,9,REG,1:00,Sun,1,2009,DEN
MIN,34,13,2009091304,54472,CLE,20,,9,REG,1:00,Sun,1,2009,MIN
NYJ,24,13,2009091305,54473,HOU,7,,9,REG,1:00,Sun,1,2009,NYJ
JAC,12,13,2009091306,54474,IND,14,,9,REG,1:00,Sun,1,2009,IND
DET,27,13,2009091307,54475,NO,45,,9,REG,1:00,Sun,1,2009,NO
DAL,34,13,2009091308,54476,TB,21,,9,REG,1:00,Sun,1,2009,DAL
SF,20,13,2009091309,54477,ARI,16,,9,REG,4:15,Sun,1,2009,SF
WAS,17,13,2009091310,54478,NYG,23,,9,REG,4:15,Sun,1,2009,NYG
STL,0,13,2009091311,54479,SEA,28,,9,REG,4:15,Sun,1,2009,SEA
CHI,15,13,2009091312,54480,GB,21,,9,REG,8:20,Sun,1,2009,GB
BUF,24,14,2009091400,54481,NE,25,,9,REG,7:00,Mon,1,2009,NE
SD,24,14,2009091401,54482,OAK,20,,9,REG,10:15,Mon,1,2009,SD
CAR,20,20,2009092000,54483,ATL,28,,9,REG,1:00,Sun,2,2009,ATL
MIN,27,20,2009092001,54484,DET,13,,9,REG,1:00,Sun,2,2009,MIN
CIN,31,20,2009092002,54485,GB,24,,9,REG,1:00,Sun,2,2009,CIN
ARI,31,20,2009092003,54486,JAC,17,,9,REG,1:00,Sun,2,2009,ARI
OAK,13,20,2009092004,54487,KC,10,,9,REG,1:00,Sun,2,2009,OAK
NE,9,20,2009092005,54488,NYJ,16,,9,REG,1:00,Sun,2,2009,NYJ
NO,48,20,2009092006,54489,PHI,22,,9,REG,1:00,Sun,2,2009,NO
HOU,34,20,2009092007,54490,TEN,31,,9,REG,1:00,Sun,2,2009,HOU
STL,7,20,2009092008,54491,WAS,9,,9,REG,1:00,Sun,2,2009,WAS
TB,20,20,2009092009,54492,BUF,33,,9,REG,4:05,Sun,2,2009,BUF
SEA,10,20,2009092010,54493,SF,23,,9,REG,4:05,Sun,2,2009,SF
PIT,14,20,2009092011,54494,CHI,17,,9,REG,4:15,Sun,2,2009,CHI
CLE,6,20,2009092012,54495,DEN,27,,9,REG,4:15,Sun,2,2009,DEN
BAL,31,20,2009092013,54496,SD,26,,9,REG,4:15,Sun,2,2009,BAL
NYG,33,20,2009092014,54497,DAL,31,,9,REG,8:20,Sun,2,2009,NYG
IND,27,21,2009092100,54498,MIA,23,,9,REG,8:30,Mon,2,2009,IND
CLE,3,27,2009092700,54504,BAL,34,,9,REG,1:00,Sun,3,2009,BAL
PIT,20,27,2009092701,54505,CIN,23,,9,REG,4:15,Sun,3,2009,CIN
WAS,14,27,2009092702,54506,DET,19,,9,REG,1:00,Sun,3,2009,DET
JAC,31,27,2009092703,54507,HOU,24,,9,REG,1:00,Sun,3,2009,JAC
SF,24,27,2009092704,54508,MIN,27,,9,REG,1:00,Sun,3,2009,MIN
ATL,10,27,2009092705,54509,NE,26,,9,REG,1:00,Sun,3,2009,NE
KC,14,27,2009092706,54510,PHI,34,,9,REG,1:00,Sun,3,2009,PHI
GB,36,27,2009092707,54511,STL,17,,9,REG,1:00,Sun,3,2009,GB
NYG,24,27,2009092708,54512,TB,0,,9,REG,1:00,Sun,3,2009,NYG
NO,27,27,2009092709,54513,BUF,7,,9,REG,4:05,Sun,3,2009,NO
CHI,25,27,2009092710,54514,SEA,19,,9,REG,4:05,Sun,3,2009,CHI
TEN,17,27,2009092711,54499,NYJ,24,,9,REG,1:00,Sun,3,2009,NYJ
DEN,23,27,2009092712,54500,OAK,3,,9,REG,4:15,Sun,3,2009,DEN
MIA,13,27,2009092713,54501,SD,23,,9,REG,4:15,Sun,3,2009,SD
IND,31,27,2009092714,54502,ARI,10,,9,REG,8:20,Sun,3,2009,IND
CAR,7,28,2009092800,54503,DAL,21,,9,REG,8:30,Mon,3,2009,DAL
DET,24,4,2009100400,54515,CHI,48,,10,REG,1:00,Sun,4,2009,CHI
CIN,23,4,2009100401,54516,CLE,20,,10,REG,1:00,Sun,4,2009,CIN
OAK,6,4,2009100402,54517,HOU,29,,10,REG,1:00,Sun,4,2009,HOU
SEA,17,4,2009100403,54518,IND,34,,10,REG,1:00,Sun,4,2009,IND
